model_id	accessibility	europdx_access_modality	email	name	form_url	database_url
TM00037	Academia and Industry	Not Applicable	micetech@jax.org	micetech	http://tumor.informatics.jax.org/mtbwi/pdxRequest.do?mice=TM00037	http://tumor.informatics.jax.org/mtbwi/pdxDetails.do?modelID=TM00037
TM00279	Academia and Industry	Not Applicable	micetech@jax.org	micetech	http://tumor.informatics.jax.org/mtbwi/pdxRequest.do?mice=TM00279	http://tumor.informatics.jax.org/mtbwi/pdxDetails.do?modelID=TM00279
TM01127	Academia and Industry	Not Applicable	micetech@jax.org	micetech	http://tumor.informatics.jax.org/mtbwi/pdxRequest.do?mice=TM01127	http://tumor.informatics.jax.org/mtbwi/pdxDetails.do?modelID=TM01127
TM01007	Academia and Industry	Not Applicable	micetech@jax.org	micetech	http://tumor.informatics.jax.org/mtbwi/pdxRequest.do?mice=TM01007	http://tumor.informatics.jax.org/mtbwi/pdxDetails.do?modelID=TM01007
TM01002	Academia and Industry	Not Applicable	micetech@jax.org	micetech	http://tumor.informatics.jax.org/mtbwi/pdxRequest.do?mice=TM01002	http://tumor.informatics.jax.org/mtbwi/pdxDetails.do?modelID=TM01002
TM01244	Academia and Industry	Not Applicable	micetech@jax.org	micetech	http://tumor.informatics.jax.org/mtbwi/pdxRequest.do?mice=TM01244	http://tumor.informatics.jax.org/mtbwi/pdxDetails.do?modelID=TM01244
TM01245	Academia and Industry	Not Applicable	micetech@jax.org	micetech	http://tumor.informatics.jax.org/mtbwi/pdxRequest.do?mice=TM01245	http://tumor.informatics.jax.org/mtbwi/pdxDetails.do?modelID=TM01245
TM00039	Academia and Industry	Not Applicable	micetech@jax.org	micetech	http://tumor.informatics.jax.org/mtbwi/pdxRequest.do?mice=TM00039	http://tumor.informatics.jax.org/mtbwi/pdxDetails.do?modelID=TM00039
TM01125	Academia and Industry	Not Applicable	micetech@jax.org	micetech	http://tumor.informatics.jax.org/mtbwi/pdxRequest.do?mice=TM01125	http://tumor.informatics.jax.org/mtbwi/pdxDetails.do?modelID=TM01125
TM01120	Academia and Industry	Not Applicable	micetech@jax.org	micetech	http://tumor.informatics.jax.org/mtbwi/pdxRequest.do?mice=TM01120	http://tumor.informatics.jax.org/mtbwi/pdxDetails.do?modelID=TM01120
