model_id	sample_id	sample_origin	passage	host_strain_nomenclature	platform_id
TM00335	OV1828F081P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00999	BR1240F002P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01423	KD1349F117P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00327	OVJX01FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNPTN
TM00877	LG1301F301P0000P1000P2018P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00061	BN243FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00282	SK0068F897P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01340	TM01340F884P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000108157	J000110718	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00784	LG1208aF025P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000099999	J000100810	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00375	CN001573F2130P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000079689	J000095142	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00931	PA2201F070P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00292	LG1194F2133P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000077451	J000077451PT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00832	LG1191aF2114P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01441	TM01441F1237P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00945	LV1028F21P0209P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01237	TM01237F560P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00193	LG0591F709P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00063	BN248F005P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01117	TM01117FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00060	BN237F004P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00199	LG0703F940P0001P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00091	BR0901F433P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000099318	J000101529	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00190	LG0542F535P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000105934	J000110860	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00385	CN1571F2031P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00206	LG0812PE1330P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00192	LG0567F671P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000080230	J000094535	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
