model_id	sample_id	sample_origin	passage	host_strain_nomenclature	platform_id
TM01087	TM01087F108P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000106132	DFAM-22359-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000103366	J000105191	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000119280	J000119763	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM01344	TM01344F899P4	xenograft	4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM01007	PA1333F087P0199P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00204	LG0807F1297P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00089	BR0620F039P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01355	TM01355F932P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000095633	J000099196	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000092712	J000095175	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00335	OV1828F082P0000P1012P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00070	BN274F004P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
J000106574	DFAL-48392-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00075	BN289F068P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM01510	TM01510F48P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000101866	J000104661	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00256	LG1265F160P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
J000106569	DFAM-61345-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00065	BN260F002P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00832	LG1191aF2114P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000106172	J000107635	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00107	BR1936F227P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
J000094918	J000099072	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00311	PA0231F1502P0240P1013P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000106572	DFTL-69579-V3-mCLP	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000105934	J000109394	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00047	BN0338F1462P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
J000100672	J000102691	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00057	BN217F007P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00065	BN260F002P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM01563	TM01563F273P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01263	TM01263F663P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01404	TM01404F1131P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000099207	J000100201	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00064	BN250F008P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00352	CN1854F123P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM00090	BR0744F098P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM01517	TM01517F79P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000109079	J000110984	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00222	LG1102F1846P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01373	TM01373F1015P0344P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00070	BN248F005P0000P1011P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00136	CN1233F011P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
J000093933	J000097395	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000104314	J000105273	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM01441	TM01441F1237P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000107333	J000108387	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM01264	TM01264F667P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000112358	J000114638	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00097	BR1077F016P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00134	CN0330F215P0000P1013P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000101892	J000103178	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
