model_id	sample_id	sample_origin	passage	host_strain_nomenclature	platform_id
TM00063	BN248F005P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
J000108981	J000114457	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00213	LG0997F1574P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Whole_Exome
TM00099	BR1367F033P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00214	LG1011PE1607P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM01353	TM01353F925P0000P1013P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Other:_ddPCR
TM00943	SK181A1F014P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00896	CN1024F074P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00857	CN1294F052P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Actionseq20
TM00199	LG0703F940P0001P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00199	LG0703F940P0001P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00099	BR1367F003P6	xenograft	6	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01125	TM01125F136P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00212	LG0978F1565P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00244	LG1235F082P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
J000101328	J000102291	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01007	PA1333F087P0199P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00222	LG1102F1846P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01029	BL0215FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000099207	J000103043	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00025	BL0470F1820P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM01244	TM01244F585P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000108931	J000111664	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00198	LG0671F888P0001P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00327	OVJX01FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000105561	J000109286	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00053	BN199F004P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01076	LV1032F051P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
J000104256	J000105318	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01264	TM01264F667P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000117541	J000119454	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01075	CN1032F136P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
J000095635	SGJ000095635	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Other:_ddPCR
TM01510	TM01510F046P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00076	BN291FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00039	SA0151F1887P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00070	BN274F004P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00190	LG0542FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Other:_FISH
TM00058	SN0218F006P0002P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00253	LG1260F097P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01594	TM01594F062P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01303	TM01303F820P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000106125	DFAM-22318-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	TEXDF
J000111644	J000115122	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01053	RP2246FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000100646	J000102432	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000106134	DFAM-61786-V2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	TEXDF
TM00857	CN1294F052P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00013	BL0058F039P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
J000118608	J000119747	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00103	BR0869F000P0000P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Whole_Exome
TM00020	BL0382F1232P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM01612	TM01612F464P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00327	OVJX01F020P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00233	LG1202F380P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
J000106532	BCM-3561	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Whole_Exome
J000101892	J000103725	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000111787	J000114180	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000102630	SGJ102640F002P4	xenograft	4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Actionseq20
TM00702	SK1260F017P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM01442	TM01442F1243P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00096	BR0851F004P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM01264	TM01264F667P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01278	TM01278F722P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000108200	J000113081	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000109079	J000110985	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01448	TM01448F1275P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00375	CN1573F2130P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM01258	TM01258F643P0000P1013P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Other:_ddPCR
TM01448	TM01448FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00023	BL0429F1608P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00345	ST1870F165P0000P1011P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00222	LG1102F1846P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Whole_Exome
J000115418	J000115694	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00016	BL0293F0593P0000P1000P2000P31289P4	xenograft	4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Whole_Exome
TM00302	LG1306aF130P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00351	AP1934F239P0000P1011P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01569	TM01569F287P4	xenograft	4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Actionseq20
TM00945	LV1028F21P0209P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000114963	J000117954	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00024	BL0440F1664P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00335	OV1828F081P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000101121	J000101956	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00385	CN1571F2031P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000099327	J000101348	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000106143	DFAM-84910-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Trusight
TM00026	BL0479F1895P0002P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000101329	J000103067	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00298	PR1996F336P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000099999	J000100810	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00847	LG1410F250P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00097	BR1077F016P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM01029	BL0215F124P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
